spatial_fold,model,n,mae,rmse,r2,aggregate_bias_pct,spearman,mean_poisson_deviance,nonpositive_prediction_count
pooled,hierarchy_lookup,879,11041.643913538112,18880.785366557728,0.48184086107575275,-13.4230019627018,0.6254429146276153,11512.23508516317,0
pooled,structure_gtfs_absolute,879,10976.014025866998,18745.646011447792,0.4892317712511962,-12.373972464835377,0.6639348365663671,10504.123454835995,0
pooled,osm_absolute,879,10290.982386187918,18033.235569813107,0.5273165859156433,-9.22668542317046,0.7354372773040234,9178.19864719384,1
pooled,osm_poisson,879,11187.79297077046,19226.581361761357,0.4626871932893122,-4.279394496367178,0.7194253880933266,9783.129063684015,0
pooled,osm_squared_error,879,12034.29541709933,19286.032843124718,0.4593591518029779,3.8338459773552427,0.6798769563509584,14168.967904665946,14
