spatial_fold,model,n,mae,rmse,r2,aggregate_bias_pct,spearman,mean_poisson_deviance,nonpositive_prediction_count
1,hierarchy_lookup,107,10106.26168224299,15760.58871178536,0.6342315021458274,-17.054663235055653,0.43009758946191534,9967.698972851496,0
1,structure_gtfs_absolute,107,9663.772009622631,15131.962104753233,0.6628276777726864,-13.16907073494069,0.5767774485141809,7283.152105408715,0
1,osm_absolute,107,8568.099864638181,14308.134525414349,0.6985415536554164,-10.638371523071944,0.7372437608768122,5969.710536011921,0
1,osm_poisson,107,9708.440242911765,17855.09733840479,0.5305537531255022,-15.481384915470192,0.7444588670462309,7454.689756237041,0
1,osm_squared_error,107,10034.29233325452,15876.899088875078,0.6288129671636814,-3.5265155848024357,0.681751610304277,8733.370308935318,1
2,hierarchy_lookup,113,10666.061946902655,15942.926601735284,0.6354578033131584,-7.877799750584876,0.6927693059071429,8518.678114882954,0
2,structure_gtfs_absolute,113,11909.000856086508,17939.450808859085,0.5384380493859509,-11.401784544639993,0.6673805686971854,9560.270922924341,0
2,osm_absolute,113,10674.963107309506,16472.51817461902,0.6108368557247044,-10.21698809393595,0.7586130893606876,7829.785665308489,0
2,osm_poisson,113,11153.62281610693,17791.07899661812,0.5460413571494436,-14.535447267918196,0.7757176274903707,8387.834111436227,0
2,osm_squared_error,113,12051.582035703628,18362.81085688563,0.5163958326957858,-11.08228216607438,0.7364225191054024,17252.44995803412,3
3,hierarchy_lookup,222,11391.238738738739,19693.104657685606,0.4749778389680851,-16.235488787447462,0.6617493264720861,12537.158109639087,0
3,structure_gtfs_absolute,222,11336.299538216977,18707.463446419664,0.5262174424811972,-5.766479358189514,0.661634866939121,10508.815624437684,0
3,osm_absolute,222,10843.313328293107,18536.295004162803,0.5348477536969946,-4.698545568017229,0.722558287923132,9428.731636537641,0
3,osm_poisson,222,10882.907186009252,19208.959159107515,0.5004753505424658,3.8807488079480192,0.7181831119193653,9488.724167904313,0
3,osm_squared_error,222,11949.918139087396,19121.232474233406,0.5050275571612342,14.513688050473418,0.7092029781688417,10286.279339956676,1
4,hierarchy_lookup,61,11133.360655737704,16926.229826737585,0.6831381598486644,-15.888044143937941,0.6815964966977919,7949.319036398952,0
4,structure_gtfs_absolute,61,9906.613830349002,15885.040720290062,0.7209216555877177,-7.020259770059208,0.8121099947117926,5765.817610233136,0
4,osm_absolute,61,9220.762729036289,14944.38971540953,0.7529949446327805,-2.2623077911073572,0.8822316234796403,4703.587690707967,0
4,osm_poisson,61,9925.871506410092,17973.134515950795,0.6427295290707804,-14.161058850702346,0.8535166578529877,6349.7632394565235,0
4,osm_squared_error,61,9638.412227110348,15801.593270028805,0.7238460682236175,-5.973337281443654,0.8034902168164991,5829.417831085782,0
5,hierarchy_lookup,376,11199.41489361702,20269.270765546087,0.3288520764147217,-12.049787803268156,0.6697703433338528,12824.315588354606,0
5,structure_gtfs_absolute,376,11029.823632537858,20298.818779268913,0.32689388631435745,-18.035430609913455,0.6687678428173889,12470.33160739965,0
5,osm_absolute,376,10513.388073044245,19527.677433302095,0.37706434736513283,-12.88163841321745,0.7217138247074449,11074.506731132198,1
5,osm_poisson,376,12003.787180613092,20200.705318671073,0.3333850194467656,-0.47183161283474595,0.694318996623509,11595.907089327091,0
5,osm_squared_error,376,13036.762364910732,20978.140854497327,0.2810875633555484,6.549147471577082,0.6473077459445725,18434.512815746853,9
