review_stratum,reviewed_n,determinate_n,indeterminate_n,match_error_n,match_error_rate,wilson_95_low,wilson_95_high
all,100,99,1,6,0.06060606060606061,0.028069797446221498,0.12596787376489954
hong_kong_island_station_link,25,25,0,0,0.0,1.3877787807814457e-17,0.13319225093904846
minor_station_link,25,25,0,0,0.0,1.3877787807814457e-17,0.13319225093904846
originally_nonmotorized,25,24,1,4,0.16666666666666666,0.06678676328632951,0.3585307064969906
service,25,25,0,2,0.08,0.022220401284847563,0.24966108950395313
